변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
"2023/11","97,080.0","4,395,540,050.0","24,259.0","1,041,151,140.3","11,502.0","336,833,539.5","5.0","22,500.5","9,225.0","629,514,664.5","343,444.0","5,961,006,937.9","34,839.0","217,944,870.9","202,508.0","5,348,715,346.8","1,745.0","10,773,038.6","21,299.0","82,254,561.9","66,733.0","110,796,069.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,430.0","68,172,787.3","6,890.0","122,350,262.5","828.0","69,176,522.2","5,224.0","550,192,567.6","474.0","30,155,002.3","440.0","3,574,502.9","615.0","33,603,592.9","38.0","4.8","538.0","7,621,580.1","123.0","38,665.9","0.0","0.0","603.0","320,671,724.7","440.0","103,415.0","120.0","101,170.3","357.0","3,639,295.1","385.0","6,396,511.3","283.0","561,593.8","352.0","6,038.8","376.0","143,695,688.1","80.0","23,781.4","0.0","0.0","0.0","0.0","22,908.0","196,272,915.8","548.0","43,128,240.0","982.0","47,911,890.7","121,041.0","4,098,634,886.1"
"2023/12","93,589.0","4,336,941,891.3","23,363.0","960,026,501.2","11,222.0","334,385,690.4","3.0","30,801.2","8,414.0","549,970,203.2","312,509.0","5,453,396,215.0","29,917.0","184,310,688.6","185,270.0","4,882,920,630.1","690.0","4,294,348.5","19,370.0","75,386,822.9","63,674.0","130,420,692.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7,629.0","55,359,670.3","5,959.0","120,703,362.1","806.0","63,931,743.7","4,731.0","605,535,965.6","430.0","31,370,685.0","400.0","3,516,426.6","560.0","33,679,073.8","27.0","1.1","489.0","7,637,733.4","112.0","90,813.1","0.0","0.0","549.0","364,931,360.6","400.0","112,020.4","99.0","90,276.7","325.0","3,118,396.4","348.0","5,919,510.2","259.0","552,340.3","314.0","5,524.4","344.0","154,482,953.6","75.0","28,850.0","0.0","0.0","0.0","0.0","39,308.0","177,997,178.3","397.0","39,024,404.0","900.0","102,743,107.3","115,527.0","4,298,490,468.2"
"2024/01","96,903.0","4,667,443,649.6","24,323.0","1,079,000,429.6","12,359.0","406,331,099.7","4.0","8,841.0","9,135.0","716,866,537.6","340,006.0","6,185,923,203.2","33,562.0","219,234,219.9","199,423.0","5,559,822,288.1","827.0","5,676,391.2","17,971.0","72,052,360.5","73,119.0","146,347,425.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,788.0","75,809,961.8","5,316.0","106,980,555.9","844.0","70,624,982.3","5,219.0","614,929,851.8","474.0","35,071,564.8","440.0","3,647,168.0","616.0","34,292,568.1","36.0","1.5","535.0","7,862,445.6","124.0","74,261.5","0.0","0.0","604.0","396,293,485.0","440.0","122,246.5","121.0","104,541.9","356.0","4,282,028.8","388.0","5,927,301.3","286.0","563,118.8","343.0","6,648.3","377.0","126,648,772.3","79.0","33,699.5","0.0","0.0","0.0","0.0","21,164.0","235,747,785.7","393.0","38,796,176.7","943.0","90,512,745.8","123,641.0","6,625,608,359.8"
"2024/02","85,629.0","3,975,534,232.7","21,666.0","949,012,889.5","10,515.0","311,374,149.1","8.0","15,834.8","7,681.0","509,394,725.8","306,757.0","5,421,522,859.6","30,749.0","198,866,473.0","182,689.0","4,869,956,911.4","640.0","3,801,801.5","15,840.0","63,405,102.6","62,537.0","112,357,264.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,027.0","70,682,629.7","5,275.0","102,452,676.9","731.0","65,096,574.2","4,506.0","500,732,307.1","410.0","31,475,336.3","380.0","3,738,410.0","531.0","28,604,314.3","27.0","1.4","467.0","7,842,288.5","109.0","71,822.4","0.0","0.0","523.0","291,161,067.3","380.0","143,491.5","101.0","110,883.7","309.0","5,346,543.6","332.0","5,952,998.6","248.0","516,214.0","296.0","6,729.9","325.0","125,733,611.6","68.0","28,594.1","0.0","0.0","0.0","0.0","23,498.0","208,197,044.5","389.0","38,126,527.3","999.0","76,352,562.7","112,524.0","5,582,109,988.3"
"2024/03","94,153.0","4,411,995,847.5","24,864.0","1,058,294,110.6","11,636.0","292,967,227.6","7.0","29,603.3","8,023.0","547,455,244.6","334,217.0","5,857,200,841.6","40,015.0","260,968,413.8","193,667.0","5,190,112,746.0","962.0","7,664,370.0","15,892.0","60,455,276.9","66,343.0","131,466,678.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,904.0","96,916,541.9","5,434.0","109,616,814.4","803.0","81,986,651.5","4,726.0","584,221,647.7","431.0","31,574,542.8","400.0","3,124,088.9","560.0","28,955,831.3","28.0","0.8","489.0","7,706,464.0","109.0","120,676.3","0.0","0.0","554.0","372,562,194.3","400.0","109,005.1","93.0","89,601.3","325.0","3,304,379.5","354.0","6,824,928.6","255.0","482,049.3","312.0","6,156.1","342.0","129,331,304.8","74.0","30,424.5","0.0","0.0","0.0","0.0","30,811.0","161,625,663.6","391.0","37,421,458.0","1,075.0","139,656,561.2","123,316.0","5,629,963,075.5"
"2024/04","100,233.0","4,552,374,792.0","26,004.0","1,090,487,843.8","12,198.0","287,954,773.8","25.0","53,818.0","8,721.0","574,600,680.1","351,698.0","6,143,695,396.9","38,097.0","249,950,397.4","208,188.0","5,455,856,527.5","1,034.0","7,561,075.4","16,589.0","67,502,154.4","69,665.0","144,045,123.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12,351.0","99,081,721.6","5,774.0","119,698,396.8","929.0","80,148,796.5","4,957.0","592,786,953.8","451.0","31,430,346.4","420.0","3,384,724.2","588.0","35,477,073.4","23.0","1.0","513.0","7,778,509.5","117.0","192,050.6","0.0","0.0","578.0","353,723,807.6","420.0","112,642.0","110.0","113,362.9","341.0","4,296,020.6","370.0","5,689,167.6","267.0","522,935.1","324.0","7,003.5","359.0","150,025,445.1","76.0","33,864.2","0.0","0.0","0.0","0.0","23,310.0","187,696,233.7","528.0","39,917,793.0","1,122.0","139,564,231.6","125,639.0","6,399,247,550.8"
"2024/05","91,927.0","4,185,925,115.7","23,226.0","990,677,057.9","11,782.0","312,951,888.5","14.0","17,503.2","8,239.0","559,791,128.0","334,621.0","5,849,247,688.0","32,147.0","210,425,783.3","203,165.0","5,257,329,441.5","1,212.0","7,208,619.7","17,240.0","67,467,644.9","64,946.0","119,295,142.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,423.0","82,328,770.6","5,488.0","105,192,285.1","766.0","70,967,764.8","4,729.0","565,910,918.4","432.0","36,185,406.4","400.0","3,326,133.9","559.0","29,335,788.6","24.0","0.6","489.0","7,730,187.6","113.0","56,596.1","0.0","0.0","547.0","347,202,925.6","400.0","103,717.9","107.0","100,485.1","323.0","3,856,602.6","355.0","4,932,887.9","259.0","524,534.1","309.0","5,631.4","342.0","132,524,601.6","70.0","25,418.9","0.0","0.0","0.0","0.0","23,299.0","198,990,659.7","658.0","46,590,524.0","1,082.0","67,554,283.3","119,916.0","5,847,948,559.3"
"2024/06","91,171.0","4,164,673,612.7","23,750.0","1,001,835,077.0","11,367.0","308,129,066.1","13.0","5,204.6","7,925.0","499,944,970.6","333,172.0","5,747,421,289.3","37,074.0","247,788,087.3","198,396.0","5,092,078,264.7","1,239.0","8,544,500.8","16,648.0","63,416,942.5","62,678.0","124,390,834.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,255.0","90,420,384.8","5,882.0","120,782,274.3","765.0","72,058,385.9","4,501.0","594,667,912.0","409.0","31,639,035.9","380.0","3,023,853.0","530.0","27,245,756.3","22.0","0.8","467.0","7,655,964.4","106.0","67,678.4","0.0","0.0","528.0","364,197,273.1","380.0","93,653.5","108.0","64,726.8","310.0","4,328,018.8","340.0","4,525,386.9","237.0","572,395.0","295.0","4,592.1","325.0","151,228,115.2","64.0","21,461.9","0.0","0.0","0.0","0.0","31,113.0","180,472,083.9","659.0","51,602,652.0","1,007.0","90,220,172.8","121,119.0","5,750,860,159.8"
"2024/07","103,085.0","4,738,530,801.8","26,236.0","1,156,064,959.0","12,746.0","341,426,031.3","18.0","23,205.5","9,733.0","601,220,336.6","398,706.0","7,180,303,070.0","36,752.0","250,359,186.1","245,368.0","6,487,677,599.4","1,468.0","9,970,556.0","19,757.0","75,127,231.3","77,330.0","134,840,046.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,625.0","91,465,231.4","6,406.0","130,863,218.8","948.0","84,458,314.9","5,416.0","643,998,617.4","496.0","33,894,711.6","460.0","3,354,717.5","644.0","29,540,127.3","29.0","1.4","558.0","7,973,573.8","127.0","57,339.7","0.0","0.0","630.0","402,941,915.5","460.0","116,762.6","116.0","143,600.1","377.0","4,255,120.3","393.0","6,501,783.1","299.0","501,165.9","353.0","5,847.4","391.0","154,684,780.3","83.0","27,171.0","0.0","0.0","0.0","0.0","22,386.0","175,138,086.5","663.0","52,512,435.0","1,038.0","91,439,183.1","139,389.0","6,836,217,125.3"
"2024/08","94,914.0","4,278,725,168.9","24,241.0","1,045,214,827.7","12,126.0","310,329,425.5","16.0","13,705.9","9,142.0","559,326,820.3","357,696.0","6,507,394,527.5","33,416.0","236,350,393.5","221,564.0","5,872,787,373.6","698.0","4,860,827.6","17,739.0","69,087,807.4","67,946.0","110,131,898.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,206.0","80,761,545.0","6,127.0","133,414,682.0","928.0","78,468,176.0","4,932.0","545,898,538.4","453.0","34,710,438.7","420.0","3,115,591.9","585.0","25,283,594.1","20.0","0.7","512.0","7,920,988.4","115.0","155,639.7","0.0","0.0","578.0","329,611,199.2","420.0","97,940.7","111.0","97,509.6","339.0","3,356,509.9","358.0","5,692,469.2","271.0","475,274.9","320.0","5,141.0","357.0","135,349,510.9","73.0","26,729.6","0.0","0.0","0.0","0.0","20,631.0","162,295,084.2","674.0","51,981,753.0","1,080.0","68,422,763.6","127,788.0","216,270,250,325.4"
"2024/09","88,285.0","4,073,808,149.4","22,250.0","979,787,150.5","11,333.0","314,174,837.3","17.0","11,338.9","8,171.0","555,433,603.2","321,220.0","5,688,864,657.6","35,187.0","240,907,933.0","191,885.0","5,054,669,893.4","909.0","6,698,321.2","18,609.0","73,084,455.7","58,802.0","104,975,141.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,873.0","78,848,082.5","5,955.0","129,680,830.8","702.0","71,174,310.7","4,228.0","526,127,340.2","386.0","32,649,724.2","360.0","3,345,530.3","505.0","26,085,644.1","16.0","0.7","435.0","7,719,980.3","101.0","99,979.0","0.0","0.0","494.0","301,063,863.5","360.0","175,283.7","102.0","109,150.2","295.0","4,832,980.2","306.0","4,211,066.1","225.0","447,820.6","279.0","4,272.0","306.0","145,361,311.8","58.0","20,733.6","0.0","0.0","0.0","0.0","21,169.0","146,443,528.5","688.0","51,262,982.0","1,106.0","99,223,888.0","124,076.0","5,727,344,487.9"
"2024/10","96,211.0","4,396,475,934.0","24,028.0","1,017,152,411.2","12,729.0","343,621,843.6","22.0","380,635.9","8,985.0","600,611,882.2","357,235.0","6,420,106,072.7","34,669.0","239,153,702.0","219,103.0","5,776,253,311.3","1,247.0","7,699,533.9","20,568.0","79,774,858.0","66,300.0","120,161,379.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,052.0","69,909,911.7","6,296.0","127,153,376.4","781.0","76,509,580.2","4,693.0","622,726,373.3","433.0","34,534,416.3","400.0","3,058,777.1","561.0","31,696,329.1","16.0","0.9","489.0","8,166,836.1","110.0","109,862.6","0.0","0.0","552.0","369,538,994.3","400.0","152,633.2","103.0","95,644.5","327.0","5,654,569.0","340.0","4,659,728.8","252.0","496,159.1","304.0","4,419.9","340.0","164,537,107.1","66.0","20,895.3","0.0","0.0","0.0","0.0","21,503.0","172,836,417.3","720.0","50,900,818.0","1,217.0","74,598,448.9","138,994.0","6,660,841,227.5"
"2024/11","95,348.0","4,402,705,766.7","24,232.0","1,028,817,556.8","11,579.0","339,164,888.4","14.0","171,048.5","9,564.0","661,576,540.1","376,648.0","6,722,066,140.1","37,065.0","241,354,744.9","233,675.0","6,074,646,401.4","1,588.0","10,575,300.7","20,178.0","80,382,395.1","68,578.0","122,963,620.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,375.0","71,673,914.9","6,189.0","120,469,763.0","806.0","76,501,478.2","4,901.0","546,570,645.2","451.0","32,501,793.4","420.0","3,023,617.0","587.0","31,769,756.2","8.0","0.5","512.0","7,900,533.6","117.0","75,868.9","0.0","0.0","576.0","309,297,739.0","420.0","126,907.8","93.0","78,995.0","343.0","5,423,595.9","357.0","5,502,902.8","267.0","474,425.4","322.0","4,656.8","357.0","150,370,006.9","71.0","19,846.0","0.0","0.0","0.0","0.0","21,959.0","183,476,317.8","694.0","49,807,676.0","1,182.0","64,337,848.0","138,463.0","6,627,872,519.6"
"2024/12","99,943.0","4,744,454,725.8","25,276.0","1,089,073,275.8","11,666.0","308,598,057.8","19.0","1,369,534.4","9,666.0","666,478,275.1","387,832.0","7,338,883,307.7","39,265.0","239,717,231.3","241,224.0","6,623,392,612.5","1,384.0","8,876,736.8","20,448.0","78,088,573.5","70,381.0","162,712,589.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,798.0","65,412,195.4","6,332.0","160,683,369.1","870.0","75,092,614.3","4,913.0","620,980,150.6","453.0","33,469,891.9","420.0","3,246,769.7","587.0","37,531,613.3","12.0","0.5","506.0","7,902,761.6","113.0","68,627.5","0.0","0.0","577.0","360,079,671.9","420.0","149,123.7","101.0","88,328.2","343.0","8,349,959.6","357.0","5,773,127.3","269.0","531,361.2","324.0","5,516.3","357.0","163,758,377.3","74.0","25,020.5","0.0","0.0","0.0","0.0","38,852.0","184,472,187.3","697.0","49,214,603.0","1,235.0","129,311,529.3","150,859.0","7,022,041,152.6"
"2025/01","84,831.0","4,039,558,706.2","21,714.0","912,735,752.4","10,086.0","310,673,994.9","20.0","384,382.9","8,140.0","575,049,130.2","331,762.0","6,306,786,981.6","31,733.0","209,702,713.2","204,763.0","5,660,380,950.1","1,073.0","6,365,542.6","18,724.0","76,917,522.8","60,830.0","146,028,052.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,632.0","67,292,259.4","6,007.0","140,099,940.7","754.0","73,853,629.1","4,196.0","526,611,466.0","387.0","36,851,842.4","360.0","3,379,337.1","506.0","30,154,835.9","11.0","1.4","441.0","6,105,880.5","98.0","57,753.2","0.0","0.0","498.0","311,974,001.6","360.0","177,192.6","78.0","84,680.7","290.0","5,062,879.5","306.0","4,886,464.8","219.0","502,475.1","274.0","5,291.0","306.0","127,339,916.4","62.0","28,913.8","0.0","0.0","0.0","0.0","18,998.0","171,476,278.3","685.0","48,901,901.0","1,275.0","150,669,953.1","120,931.0","5,803,418,453.9"
"2025/02","93,742.0","4,594,676,789.0","23,710.0","1,031,563,457.9","12,073.0","396,649,488.5","35.0","649,856.1","8,792.0","605,333,734.6","377,369.0","7,178,271,981.3","38,297.0","252,091,425.7","234,324.0","6,478,483,924.8","1,481.0","10,191,386.9","18,344.0","73,943,942.9","68,737.0","143,842,840.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,882.0","77,385,683.3","6,304.0","142,332,777.6","852.0","82,819,429.3","4,687.0","533,372,865.6","431.0","35,011,301.2","400.0","3,164,769.2","560.0","34,198,498.4","16.0","1.8","491.0","9,830,958.3","109.0","156,265.9","0.0","0.0","550.0","305,295,042.9","400.0","267,802.1","94.0","86,196.2","324.0","4,071,193.6","342.0","5,467,698.1","248.0","557,430.9","307.0","5,114.3","340.0","135,230,568.6","75.0","30,024.2","0.0","0.0","0.0","0.0","24,766.0","261,369,781.3","668.0","53,779,379.0","1,457.0","135,872,805.1","141,224.0","6,638,483,606.0"
